ITEM,LOTNO,TESTID,LOW,HIGH,NTARGET,NRESULT,ADDDATE,Dev
TSK2039,103363,ABS0.1,1.33,1.49,1.41,1.3371,1/4/2013,0.0729
TSK2039,103392,ABS0.1,1.33,1.49,1.41,1.4018,1/18/2013,0.0082
TSK2039,104157,ABS0.1,1.33,1.49,1.41,1.3376,1/18/2013,0.0724
TSK2039,104333,ABS0.1,1.33,1.49,1.41,1.3661,1/25/2013,0.0439
TSK2039,104693,ABS0.1,1.33,1.49,1.41,1.3339,2/12/2013,0.0761
TSK2039,105131,ABS0.1,1.33,1.49,1.41,1.3927,2/19/2013,0.0173
TSK2039,105194,ABS0.1,1.33,1.49,1.41,1.375,2/19/2013,0.035
TSK2039,105669,ABS0.1,1.33,1.49,1.41,1.4751,3/5/2013,-0.0651
TSK2039,106022,ABS0.1,1.33,1.49,1.41,1.3658,3/19/2013,0.0442
TSK2039,106180,ABS0.1,1.33,1.49,1.41,1.3623,3/26/2013,0.0477
TSK2039,106560,ABS0.1,1.33,1.49,1.41,1.4216,3/26/2013,-0.0116
TSK2039,106617,ABS0.1,1.33,1.49,1.41,1.4186,4/5/2013,-0.0086
TSK2039,106727,ABS0.1,1.33,1.49,1.41,1.4147,4/12/2013,-0.0047
TSK2039,107493,ABS0.1,1.33,1.49,1.41,1.3542,5/7/2013,0.0558
TSK2039,107812,ABS0.1,1.33,1.49,1.41,1.3304,5/14/2013,0.0796
TSK2039,108698,ABS0.1,1.33,1.49,1.41,1.3419,5/31/2013,0.0681
TSK2039,109020,ABS0.1,1.33,1.49,1.41,1.3594,5/31/2013,0.0506
TSK2039,109531,ABS0.1,1.33,1.49,1.41,1.3309,6/18/2013,0.0791
TSK2039,110017,ABS0.1,1.33,1.49,1.41,1.3667,6/28/2013,0.0433
TSK2039,109913,ABS0.1,1.33,1.49,1.41,1.3956,7/2/2013,0.0144
TSK2039,110473,ABS0.1,1.33,1.49,1.41,1.3532,7/9/2013,0.0568
TSK2039,110945,ABS0.1,1.33,1.49,1.41,1.3927,7/30/2013,0.0173
TSK2039,111398,ABS0.1,1.33,1.49,1.41,1.3793,7/30/2013,0.0307
TSK2039,111296,ABS0.1,1.33,1.49,1.41,1.3478,8/13/2013,0.0622
TSK2039,111882,ABS0.1,1.33,1.49,1.41,1.332,8/23/2013,0.078
TSK2039,112484,ABS0.1,1.33,1.49,1.41,1.3974,9/17/2013,0.0126
TSK2039,113324,ABS0.1,1.33,1.49,1.41,1.3739,9/20/2013,0.0361
TSK2039,113469,ABS0.1,1.33,1.49,1.41,1.4227,10/15/2013,-0.0127
TSK2039,114414,ABS0.1,1.33,1.49,1.41,1.3398,10/18/2013,0.0702
COMPLETE,103022,ABS0.5,1.6,1.8,1.7,1.7253,1/4/2013,-0.0253
COMPLETE,103138,ABS0.5,1.6,1.8,1.7,1.7388,1/4/2013,-0.0388
COMPLETE,104088,ABS0.5,1.6,1.8,1.7,1.7196,1/15/2013,-0.0196
COMPLETE,104332,ABS0.5,1.6,1.8,1.7,1.7168,1/22/2013,-0.0168
COMPLETE,105193,ABS0.5,1.6,1.8,1.7,1.7098,2/26/2013,-0.0098
COMPLETE,105484,ABS0.5,1.6,1.8,1.7,1.6954,3/1/2013,0.0046
COMPLETE,105668,ABS0.5,1.6,1.8,1.7,1.6782,3/5/2013,0.0218
COMPLETE,105707,ABS0.5,1.6,1.8,1.7,1.6821,3/5/2013,0.0179
COMPLETE,106616,ABS0.5,1.6,1.8,1.7,1.6578,4/2/2013,0.0422
COMPLETE,107636,ABS0.5,1.6,1.8,1.7,1.6939,4/23/2013,0.0061
COMPLETE,107773,ABS0.5,1.6,1.8,1.7,1.6685,4/23/2013,0.0315
COMPLETE,107900,ABS0.5,1.6,1.8,1.7,1.6781,5/7/2013,0.0219
COMPLETE,108441,ABS0.5,1.6,1.8,1.7,1.6594,5/21/2013,0.0406
COMPLETE,109018,ABS0.5,1.6,1.8,1.7,1.6649,5/28/2013,0.0351
COMPLETE,109527,ABS0.5,1.6,1.8,1.7,1.7105,6/11/2013 0:00,-0.0105
COMPLETE,110761,ABS0.5,1.6,1.8,1.7,1.7476,7/12/2013 0:00,-0.0476
COMPLETE,110781,ABS0.5,1.6,1.8,1.7,1.763,7/12/2013 0:00,-0.063
COMPLETE,111774,ABS0.5,1.6,1.8,1.7,1.7266,8/13/2013 0:00,-0.0266
COMPLETE,111977,ABS0.5,1.6,1.8,1.7,1.7246,8/20/2013 0:00,-0.0246
COMPLETE,112157,ABS0.5,1.6,1.8,1.7,1.7236,8/23/2013 0:00,-0.0236
COMPLETE,113323,ABS0.5,1.6,1.8,1.7,1.7183,9/20/2013 0:00,-0.0183
COMPLETE,114235,ABS0.5,1.6,1.8,1.7,1.7022,10/15/2013 0:00,-0.0022
COMPLETE,114478,ABS0.5,1.6,1.8,1.7,1.7075,10/18/2013 0:00,-0.0075
CM-557H,103389,ABS1.0PH,1.2,1.35,1.275,1.2742,1/4/2013,0.0008
CM-557H,104625,ABS1.0PH,1.2,1.35,1.275,1.2582,2/1/2013,0.0168
CM-557H,105934,ABS1.0PH,1.2,1.35,1.275,1.244,3/12/2013,0.031
CM-557H,106724,ABS1.0PH,1.2,1.35,1.275,1.2432,4/5/2013,0.0318
CM-557H,107635,ABS1.0PH,1.2,1.35,1.275,1.2496,4/23/2013,0.0254
CM-557H,109222,ABS1.0PH,1.2,1.35,1.275,1.3142,6/4/2013 0:00,-0.0392
CM-557H,109589,ABS1.0PH,1.2,1.35,1.275,1.3099,6/14/2013 0:00,-0.0349
CM-557H,111292,ABS1.0PH,1.2,1.35,1.275,1.3486,8/2/2013 0:00,-0.0736
CM-557H,112636,ABS1.0PH,1.2,1.35,1.275,1.3318,8/27/2013 0:00,-0.0568
CM-557H,113676,ABS1.0PH,1.2,1.35,1.275,1.303,10/8/2013 0:00,-0.028
CM-557H,114413,ABS1.0PH,1.2,1.35,1.275,1.3308,10/18/2013 0:00,-0.0558
CM-557H,114461,ABS1.0PH,1.2,1.35,1.275,1.3246,10/18/2013 0:00,-0.0496
TSK2039,103363,CONDUCT25,510,670,590,579,1/4/2013,11
TSK2039,103392,CONDUCT25,510,670,590,579,1/18/2013,11
TSK2039,104157,CONDUCT25,510,670,590,576,1/18/2013,14
TSK2039,104333,CONDUCT25,510,670,590,587,1/25/2013,3
TSK2039,104693,CONDUCT25,510,670,590,582,2/12/2013,8
TSK2039,105131,CONDUCT25,510,670,590,573,2/19/2013,17
TSK2039,105194,CONDUCT25,510,670,590,576,2/19/2013,14
TSK2039,105669,CONDUCT25,510,670,590,581,3/5/2013,9
TSK2039,106022,CONDUCT25,510,670,590,570,3/19/2013,20
TSK2039,106180,CONDUCT25,510,670,590,568,3/26/2013,22
TSK2039,106560,CONDUCT25,510,670,590,599,3/26/2013,-9
TSK2039,106617,CONDUCT25,510,670,590,569,4/5/2013,21
TSK2039,106727,CONDUCT25,510,670,590,580,4/12/2013,10
TSK2039,107493,CONDUCT25,510,670,590,574,5/7/2013,16
TSK2039,107812,CONDUCT25,510,670,590,584,5/14/2013,6
TSK2039,108698,CONDUCT25,510,670,590,592,5/31/2013,-2
TSK2039,109020,CONDUCT25,510,670,590,581,5/31/2013,9
TSK2039,109531,CONDUCT25,510,670,590,585,6/18/2013,5
TSK2039,110017,CONDUCT25,510,670,590,600,6/28/2013,-10
TSK2039,109913,CONDUCT25,510,670,590,597,7/2/2013,-7
TSK2039,110473,CONDUCT25,510,670,590,578,7/9/2013,12
TSK2039,110945,CONDUCT25,510,670,590,592,7/30/2013,-2
TSK2039,111398,CONDUCT25,510,670,590,579,7/30/2013,11
TSK2039,111296,CONDUCT25,510,670,590,588,8/13/2013,2
TSK2039,111882,CONDUCT25,510,670,590,575,8/23/2013,15
TSK2039,112484,CONDUCT25,510,670,590,576,9/17/2013,14
TSK2039,113324,CONDUCT25,510,670,590,582,9/20/2013,8
TSK2039,113469,CONDUCT25,510,670,590,604,10/15/2013,-14
TSK2039,114414,CONDUCT25,510,670,590,583,10/18/2013,7
CM-557H,103389,CONDUCTIV,1500,3000,2250,2230,1/4/2013,20
CM-557H,104625,CONDUCTIV,1500,3000,2250,2230,2/1/2013,20
CM-557H,105934,CONDUCTIV,1500,3000,2250,2200,3/12/2013,50
CM-557H,106724,CONDUCTIV,1500,3000,2250,2300,4/5/2013,-50
CM-557H,107635,CONDUCTIV,1500,3000,2250,2310,4/23/2013,-60
CM-557H,109222,CONDUCTIV,1500,3000,2250,2410,6/4/2013 0:00,-160
CM-557H,109589,CONDUCTIV,1500,3000,2250,2420,6/14/2013 0:00,-170
CM-557H,111292,CONDUCTIV,1500,3000,2250,2430,8/2/2013 0:00,-180
CM-557H,112636,CONDUCTIV,1500,3000,2250,2400,8/27/2013 0:00,-150
CM-557H,113676,CONDUCTIV,1500,3000,2250,2370,10/8/2013 0:00,-120
CM-557H,114413,CONDUCTIV,1500,3000,2250,2440,10/18/2013 0:00,-190
CM-557H,114461,CONDUCTIV,1500,3000,2250,2440,10/18/2013 0:00,-190
CM-557H,103389,FILTER-COL,0,0,0,0.814,1/4/2013,-0.814
CM-557H,104625,FILTER-COL,0,0,0,0.887,2/1/2013,-0.887
CM-557H,105934,FILTER-COL,0,0,0,0.836,3/12/2013,-0.836
CM-557H,106724,FILTER-COL,0,0,0,0.894,4/5/2013,-0.894
CM-557H,107635,FILTER-COL,0,0,0,0.867,4/23/2013,-0.867
CM-557H,109222,FILTER-COL,0,0,0,0.824,6/4/2013 0:00,-0.824
CM-557H,109589,FILTER-COL,0,0,0,0.923,6/14/2013 0:00,-0.923
CM-557H,111292,FILTER-COL,0,0,0,0.856,8/2/2013 0:00,-0.856
CM-557H,112636,FILTER-COL,0,0,0,0.836,8/27/2013 0:00,-0.836
CM-557H,113676,FILTER-COL,0,0,0,0.826,10/8/2013 0:00,-0.826
CM-557H,114413,FILTER-COL,0,0,0,0.826,10/18/2013 0:00,-0.826
CM-557H,114461,FILTER-COL,0,0,0,0.884,10/18/2013 0:00,-0.884
TSK2039,103363,MICROSCOPY,0,0,0,0,1/4/2013,0
TWK1818,103222,MICROSCOPY,0,0,0,0,1/4/2013,0
TWK1961H,103023,MICROSCOPY,0,0,0,0,1/4/2013,0
TWK1961H,103365,MICROSCOPY,0,0,0,0,1/4/2013,0
TWK1966H,103224,MICROSCOPY,0,0,0,0,1/4/2013,0
TWK2010H,103393,MICROSCOPY,0,0,0,0,1/4/2013,0
TWK2080H,103394,MICROSCOPY,0,0,0,0,1/4/2013,0
TWK1396,103279,MICROSCOPY,0,0,0,0,1/8/2013,0
TWK1386,103364,MICROSCOPY,0,0,0,0,1/15/2013,0
TWK2080H,103025,MICROSCOPY,0,0,0,0,1/15/2013,0
TSK2039,103392,MICROSCOPY,0,0,0,0,1/18/2013,0
TSK2039,104157,MICROSCOPY,0,0,0,0,1/18/2013,0
TWK1818,104097,MICROSCOPY,0,0,0,0,1/18/2013,0
TWK1966H,104098,MICROSCOPY,0,0,0,0,1/18/2013,0
TWK2080H,104099,MICROSCOPY,0,0,0,0,1/18/2013,0
TWK1818,104334,MICROSCOPY,0,0,0,0,1/22/2013,0
TSK2039,104333,MICROSCOPY,0,0,0,0,1/25/2013,0
TWK1961H,104335,MICROSCOPY,0,0,0,0,1/25/2013,0
TWK2010H,104336,MICROSCOPY,0,0,0,0,1/25/2013,0
TWK2080H,104337,MICROSCOPY,0,0,0,0,1/25/2013,0
TWK1961H,104893,MICROSCOPY,0,0,0,0,2/5/2013,0
TWK2010H,104894,MICROSCOPY,0,0,0,0,2/5/2013,0
TSK2039,104693,MICROSCOPY,0,0,0,0,2/12/2013,0
TWK1386,104891,MICROSCOPY,0,0,0,0,2/12/2013,0
TWK1386,104956,MICROSCOPY,0,0,0,0,2/12/2013,0
TWK1396,104955,MICROSCOPY,0,0,0,0,2/12/2013,0
TWK1961H,104957,MICROSCOPY,0,0,0,0,2/12/2013,0
TWK1966H,104920,MICROSCOPY,0,0,0,0,2/12/2013,0
TSK2039,105131,MICROSCOPY,0,0,0,0,2/19/2013,0
TSK2039,105194,MICROSCOPY,0,0,0,0,2/19/2013,0
TWK1818,105195,MICROSCOPY,0,0,0,0,2/19/2013,0
TWK2010H,105196,MICROSCOPY,0,0,0,0,2/19/2013,0
TWK2080H,104895,MICROSCOPY,0,0,0,0,2/19/2013,0
TWK2080H,105287,MICROSCOPY,0,0,0,0,2/26/2013,0
TWK2080H,105479,MICROSCOPY,0,0,0,0,2/26/2013,0
TWK1396,105478,MICROSCOPY,0,0,0,0,3/1/2013,0
TWK2010H,105671,MICROSCOPY,0,0,0,0,3/1/2013,0
TWK2080H,105666,MICROSCOPY,0,0,0,0,3/1/2013,0
TWK2080H,105672,MICROSCOPY,0,0,0,0,3/1/2013,0
TSK2039,105669,MICROSCOPY,0,0,0,0,3/5/2013,0
TWK1396,105670,MICROSCOPY,0,0,0,0,3/5/2013,0
TWK1961H,105708,MICROSCOPY,0,0,0,0,3/5/2013,0
TWK1386,106023,MICROSCOPY,0,0,0,0,3/12/2013,0
TWK1396,105938,MICROSCOPY,0,0,0,0,3/12/2013,0
TWK1966H,106181,MICROSCOPY,0,0,0,0,3/12/2013,0
TWK2010H,105939,MICROSCOPY,0,0,0,0,3/12/2013,0
TSK2039,106022,MICROSCOPY,0,0,0,0,3/19/2013,0
TWK1396,106307,MICROSCOPY,0,0,0,0,3/19/2013,0
TWK1818,106308,MICROSCOPY,0,0,0,0,3/19/2013,0
TWK2010H,106229,MICROSCOPY,0,0,0,0,3/19/2013,0
TWK2080H,106182,MICROSCOPY,0,0,0,0,3/19/2013,0
TSK2039,106180,MICROSCOPY,0,0,0,0,3/26/2013,0
TSK2039,106560,MICROSCOPY,0,0,0,0,3/26/2013,0
TWK1961H,106389,MICROSCOPY,0,0,0,0,3/26/2013,0
TWK2080H,106469,MICROSCOPY,0,0,0,0,3/26/2013,0
TSK2039,106617,MICROSCOPY,0,0,0,0,4/5/2013,0
TWK1386,106728,MICROSCOPY,0,0,0,0,4/5/2013,0
TWK1396,106740,MICROSCOPY,0,0,0,0,4/5/2013,0
TWK2080H,106995,MICROSCOPY,0,0,0,0,4/9/2013,0
TSK2039,106727,MICROSCOPY,0,0,0,0,4/12/2013,0
TWK1396,107351,MICROSCOPY,0,0,0,0,4/12/2013,0
TWK1966H,107187,MICROSCOPY,0,0,0,0,4/12/2013,0
TWK2010H,107188,MICROSCOPY,0,0,0,0,4/12/2013,0
TWK1386,107494,MICROSCOPY,0,0,0,0,4/19/2013,0
TWK1961H,107495,MICROSCOPY,0,0,0,0,4/19/2013,0
TWK2080H,107496,MICROSCOPY,0,0,0,0,4/19/2013,0
TWK1818,107813,MICROSCOPY,0,0,0,0,4/26/2013,0
TWK2080H,107841,MICROSCOPY,0,0,0,0,4/26/2013,0
TWK1396,107901,MICROSCOPY,0,0,0,0,4/30/2013,0
TWK1966H,107903,MICROSCOPY,0,0,0,0,4/30/2013,0
TSK2039,107493,MICROSCOPY,0,0,0,0,5/7/2013,0
TWK2080H,107904,MICROSCOPY,0,0,0,0,5/7/2013,0
TSK2039,107812,MICROSCOPY,0,0,0,0,5/14/2013,0
TWK1386,108142,MICROSCOPY,0,0,0,0,5/14/2013,0
TWK1396,108343,MICROSCOPY,0,0,0,0,5/14/2013,0
TWK1961H,108143,MICROSCOPY,0,0,0,0,5/14/2013,0
TWK2010H,108442,MICROSCOPY,0,0,0,0,5/14/2013,0
TWK1386,108699,MICROSCOPY,0,0,0,0,5/21/2013,0
TWK1818,107902,MICROSCOPY,0,0,0,0,5/21/2013,0
TWK1818,107902,MICROSCOPY,0,0,0,0,5/21/2013 0:00,0
TWK1961H,108774,MICROSCOPY,0,0,0,0,5/21/2013,0
TWK2080H,108618,MICROSCOPY,0,0,0,0,5/21/2013,0
TSK2039,108698,MICROSCOPY,0,0,0,0,5/31/2013,0
TSK2039,109020,MICROSCOPY,0,0,0,0,5/31/2013,0
TWK1961H,109085,MICROSCOPY,0,0,0,0,5/31/2013,0
TWK2010H,109223,MICROSCOPY,0,0,0,0,5/31/2013,0
TWK2080H,109086,MICROSCOPY,0,0,0,0,5/31/2013,0
TWK1386,109491,MICROSCOPY,0,0,0,0,6/7/2013 0:00,0
TWK1818,109532,MICROSCOPY,0,0,0,0,6/11/2013 0:00,0
TWK2080H,109492,MICROSCOPY,0,0,0,0,6/11/2013 0:00,0
TWK1961H,109554,MICROSCOPY,0,0,0,0,6/14/2013 0:00,0
TSK2039,109531,MICROSCOPY,0,0,0,0,6/18/2013,0
TWK1396,109914,MICROSCOPY,0,0,0,0,6/18/2013,0
TWK2010H,109833,MICROSCOPY,0,0,0,0,6/18/2013 0:00,0
TWK2080H,109811,MICROSCOPY,0,0,0,0,6/18/2013 0:00,0
TWK2080H,109834,MICROSCOPY,0,0,0,0,6/18/2013 0:00,0
TWK1966H,109915,MICROSCOPY,0,0,0,0,6/21/2013 0:00,0
TWK2010H,109916,MICROSCOPY,0,0,0,0,6/21/2013 0:00,0
TWK1386,110071,MICROSCOPY,0,0,0,0,6/25/2013 0:00,0
TSK2039,110017,MICROSCOPY,0,0,0,0,6/28/2013,0
TSK2039,109913,MICROSCOPY,0,0,0,0,7/2/2013,0
TSK2039,110473,MICROSCOPY,0,0,0,0,7/9/2013,0
TWK1396,110474,MICROSCOPY,0,0,0,0,7/9/2013,0
TWK1961H,110475,MICROSCOPY,0,0,0,0,7/9/2013 0:00,0
TWK1818,110784,MICROSCOPY,0,0,0,0,7/12/2013 0:00,0
TWK2080H,110476,MICROSCOPY,0,0,0,0,7/12/2013 0:00,0
TWK1961H,110701,MICROSCOPY,0,0,0,0,7/16/2013 0:00,0
TWK1961H,111064,MICROSCOPY,0,0,0,0,7/19/2013 0:00,0
TSK2039,110945,MICROSCOPY,0,0,0,0,7/30/2013,0
TSK2039,111398,MICROSCOPY,0,0,0,0,7/30/2013,0
TWK1386,111144,MICROSCOPY,0,0,0,0,7/30/2013 0:00,0
TWK1396,111297,MICROSCOPY,0,0,0,0,7/30/2013,0
TWK2010H,111145,MICROSCOPY,0,0,0,0,7/30/2013 0:00,0
TWK2080H,111146,MICROSCOPY,0,0,0,0,7/30/2013 0:00,0
TWK1966H,111460,MICROSCOPY,0,0,0,0,8/6/2013 0:00,0
TWK2080H,111461,MICROSCOPY,0,0,0,0,8/6/2013 0:00,0
TWK2080H,111570,MICROSCOPY,0,0,0,0,8/6/2013 0:00,0
TWK1396,111565,MICROSCOPY,0,0,0,0,8/7/2013,0
TSK2039,111296,MICROSCOPY,0,0,0,0,8/13/2013,0
TWK1818,111883,MICROSCOPY,0,0,0,0,8/13/2013 0:00,0
TWK1386,111916,MICROSCOPY,0,0,0,0,8/16/2013 0:00,0
TWK2080H,111775,MICROSCOPY,0,0,0,0,8/16/2013 0:00,0
TWK1396,112159,MICROSCOPY,0,0,0,0,8/20/2013,0
TWK1961H,112160,MICROSCOPY,0,0,0,0,8/20/2013 0:00,0
TSK2039,111882,MICROSCOPY,0,0,0,0,8/23/2013,0
TWK2010H,112161,MICROSCOPY,0,0,0,0,8/23/2013 0:00,0
TWK2080H,112410,MICROSCOPY,0,0,0,0,8/23/2013 0:00,0
TWK1386,112408,MICROSCOPY,0,0,0,0,8/27/2013 0:00,0
TWK1396,112733,MICROSCOPY,0,0,0,0,8/30/2013,0
TWK1961H,112734,MICROSCOPY,0,0,0,0,9/6/2013 0:00,0
TWK2080H,112735,MICROSCOPY,0,0,0,0,9/6/2013 0:00,0
TWK1396,113014,MICROSCOPY,0,0,0,0,9/10/2013,0
TWK1966H,112639,MICROSCOPY,0,0,0,0,9/10/2013 0:00,0
TWK2010H,113015,MICROSCOPY,0,0,0,0,9/10/2013 0:00,0
TWK1961H,113096,MICROSCOPY,0,0,0,0,9/13/2013 0:00,0
TWK2010H,113097,MICROSCOPY,0,0,0,0,9/13/2013 0:00,0
TSK2039,112484,MICROSCOPY,0,0,0,0,9/17/2013,0
TSK2039,113324,MICROSCOPY,0,0,0,0,9/20/2013,0
TWK2080H,113232,MICROSCOPY,0,0,0,0,9/20/2013 0:00,0
TWK1386,113470,MICROSCOPY,0,0,0,0,9/27/2013 0:00,0
TWK1396,113471,MICROSCOPY,0,0,0,0,10/4/2013,0
TWK1961H,113472,MICROSCOPY,0,0,0,0,10/8/2013 0:00,0
TWK1386,113910,MICROSCOPY,0,0,0,0,10/11/2013 0:00,0
TWK1966H,113912,MICROSCOPY,0,0,0,0,10/11/2013 0:00,0
TSK2039,113469,MICROSCOPY,0,0,0,0,10/15/2013,0
TWK1818,113911,MICROSCOPY,0,0,0,0,10/15/2013 0:00,0
TWK2010H,113913,MICROSCOPY,0,0,0,0,10/15/2013 0:00,0
TWK2080H,113677,MICROSCOPY,0,0,0,0,10/15/2013 0:00,0
TWK2080H,114233,MICROSCOPY,0,0,0,0,10/15/2013 0:00,0
TSK2039,114414,MICROSCOPY,0,0,0,0,10/18/2013,0
TWK1386,114415,MICROSCOPY,0,0,0,0,10/18/2013 0:00,0
TWK1961H,114231,MICROSCOPY,0,0,0,0,10/18/2013 0:00,0
TWK2010H,114417,MICROSCOPY,0,0,0,0,10/18/2013 0:00,0
TWK1396,114416,MICROSCOPY,0,0,0,0,10/22/2013,0
TWK2080H,114523,MICROSCOPY,0,0,0,0,10/22/2013 0:00,0
CM-557H,103389,PH,9.5,10.5,10,9.53,1/4/2013,0.47
COMPLETE,103022,PH,9.3,9.7,9.4,9.52,1/4/2013,-0.12
COMPLETE,103138,PH,9.3,9.7,9.4,9.53,1/4/2013,-0.13
TWK1818,103222,PH,9,10,9.24,9.3,1/4/2013,-0.06
TWK2010H,103393,PH,8,9,8.61,8.69,1/4/2013,-0.08
COMPLETE,104088,PH,9.3,9.7,9.4,9.53,1/15/2013,-0.13
TWK1386,103364,PH,8,9.2,8.83,8.64,1/15/2013,0.19
TWK1818,104097,PH,9,10,9.24,9.23,1/18/2013,0.01
COMPLETE,104332,PH,9.3,9.7,9.4,9.52,1/22/2013,-0.12
TWK1818,104334,PH,9,10,9.24,9.18,1/22/2013,0.06
TWK2010H,104336,PH,8,9,8.61,8.5,1/25/2013,0.11
CM-557H,104625,PH,9.5,10.5,10,9.54,2/1/2013,0.46
TWK2010H,104894,PH,8,9,8.61,8.62,2/5/2013,-0.01
TWK1386,104891,PH,8,9.2,8.83,8.64,2/12/2013,0.19
TWK1386,104956,PH,8,9.2,8.83,8.83,2/12/2013,0
TWK1818,105195,PH,9,10,9.24,9.29,2/19/2013,-0.05
TWK2010H,105196,PH,8,9,8.61,8.47,2/19/2013,0.14
COMPLETE,105193,PH,9.3,9.7,9.4,9.58,2/26/2013,-0.18
COMPLETE,105484,PH,9.3,9.7,9.4,9.59,3/1/2013,-0.19
TWK2010H,105671,PH,8,9,8.61,8.51,3/1/2013,0.1
COMPLETE,105668,PH,9.3,9.7,9.4,9.58,3/5/2013,-0.18
COMPLETE,105707,PH,9.3,9.7,9.4,9.57,3/5/2013,-0.17
CM-557H,105934,PH,9.5,10.5,10,9.55,3/12/2013,0.45
TWK1386,106023,PH,8,9.2,8.83,8.64,3/12/2013,0.19
TWK2010H,105939,PH,8,9,8.61,8.51,3/12/2013,0.1
TWK1818,106308,PH,9,10,9.24,9.05,3/19/2013,0.19
TWK2010H,106229,PH,8,9,8.61,8.5,3/19/2013,0.11
COMPLETE,106616,PH,9.3,9.7,9.4,9.56,4/2/2013,-0.16
CM-557H,106724,PH,9.5,10.5,10,9.57,4/5/2013,0.43
TWK1386,106728,PH,8,9.2,8.83,8.67,4/5/2013,0.16
TWK2010H,107188,PH,8,9,8.61,8.51,4/12/2013,0.1
TWK1386,107494,PH,8,9.2,8.83,8.73,4/19/2013,0.1
CM-557H,107635,PH,9.5,10.5,10,9.54,4/23/2013,0.46
COMPLETE,107636,PH,9.3,9.7,9.4,9.56,4/23/2013,-0.16
COMPLETE,107773,PH,9.3,9.7,9.4,9.58,4/23/2013,-0.18
TWK1818,107813,PH,9,10,9.24,9.16,4/26/2013,0.08
COMPLETE,107900,PH,9.3,9.7,9.4,9.58,5/7/2013,-0.18
TWK1386,108142,PH,8,9.2,8.83,8.61,5/14/2013,0.22
TWK2010H,108442,PH,8,9,8.61,8.51,5/14/2013,0.1
COMPLETE,108441,PH,9.3,9.7,9.4,9.59,5/21/2013,-0.19
TWK1386,108699,PH,8,9.2,8.83,8.61,5/21/2013,0.22
